species,size,Média,Mediana,Moda,Std,IC (90%),IC (95%),IC (99%),CV (%),Normalidade,kind,data_set
setosa,42,5.024,5.0,5.1 & 5.0 ,0.363,0.094,0.113,0.151,7.22,Sim,sepal_length,iris
setosa,43,5.009,5.0,5.1 & 5.0 ,0.371,0.095,0.114,0.153,7.4,Sim,sepal_length,iris
setosa,44,5.009,5.0,5.0 ,0.367,0.093,0.111,0.149,7.32,Sim,sepal_length,iris
setosa,45,5.011,5.0,5.1 & 5.0 ,0.363,0.091,0.109,0.146,7.24,Sim,sepal_length,iris
setosa,46,5.007,5.0,5.1 & 5.0 ,0.36,0.089,0.107,0.143,7.19,Sim,sepal_length,iris
setosa,47,5.009,5.0,5.1 ,0.356,0.087,0.105,0.14,7.11,Sim,sepal_length,iris
setosa,48,5.0,5.0,5.1 ,0.357,0.087,0.104,0.138,7.15,Sim,sepal_length,iris
setosa,49,5.006,5.0,5.1 ,0.356,0.085,0.102,0.136,7.11,Sim,sepal_length,iris
setosa,50,5.006,5.0,5.1 & 5.0 ,0.352,0.084,0.1,0.134,7.04,Sim,sepal_length,iris
setosa,1,3.5,3.5,3.5,-,-,-,-,-,-,sepal_width,iris
setosa,2,3.25,3.25,None ,0.354,1.578,3.177,15.914,10.88,-,sepal_width,iris
setosa,3,3.233,3.2,None ,0.252,0.424,0.625,1.442,7.78,Sim,sepal_width,iris
setosa,4,3.2,3.15,None ,0.216,0.254,0.344,0.631,6.75,Sim,sepal_width,iris
setosa,5,3.28,3.2,None ,0.259,0.247,0.321,0.533,7.89,Sim,sepal_width,iris
setosa,6,3.383,3.35,None ,0.343,0.282,0.36,0.565,10.14,Sim,sepal_width,iris
setosa,7,3.386,3.4,None ,0.313,0.23,0.29,0.439,9.25,Sim,sepal_width,iris
setosa,8,3.388,3.4,3.4 ,0.29,0.194,0.242,0.359,8.56,Sim,sepal_width,iris
setosa,9,3.333,3.4,3.4 ,0.316,0.196,0.243,0.354,9.49,Sim,sepal_width,iris
setosa,10,3.31,3.3,3.1 & 3.4 ,0.307,0.178,0.22,0.316,9.28,Sim,sepal_width,iris
setosa,11,3.345,3.4,3.1 & 3.4 ,0.314,0.172,0.211,0.3,9.39,Sim,sepal_width,iris
setosa,12,3.35,3.4,3.4 ,0.3,0.156,0.191,0.269,8.96,Sim,sepal_width,iris
setosa,13,3.323,3.4,3.4 ,0.303,0.15,0.183,0.257,9.12,Sim,sepal_width,iris
setosa,14,3.3,3.3,3.0 & 3.4 ,0.304,0.144,0.175,0.245,9.21,Sim,sepal_width,iris
setosa,15,3.347,3.4,3.0 & 3.4 ,0.344,0.156,0.191,0.264,10.28,Sim,sepal_width,iris
setosa,16,3.412,3.4,3.0 & 3.4 ,0.424,0.186,0.226,0.312,12.43,Sim,sepal_width,iris
setosa,17,3.441,3.4,3.0 & 3.4 ,0.427,0.181,0.22,0.303,12.42,Sim,sepal_width,iris
setosa,18,3.444,3.4,3.0 & 3.4 ,0.415,0.17,0.206,0.283,12.04,Sim,sepal_width,iris
setosa,19,3.463,3.4,3.0 & 3.4 ,0.411,0.164,0.198,0.272,11.87,Sim,sepal_width,iris
setosa,20,3.48,3.45,3.0 & 3.4 ,0.407,0.157,0.191,0.261,11.7,Sim,sepal_width,iris
setosa,21,3.476,3.4,3.4 ,0.397,0.15,0.181,0.247,11.43,Sim,sepal_width,iris
setosa,22,3.486,3.45,3.4 ,0.391,0.143,0.173,0.236,11.21,Sim,sepal_width,iris
setosa,23,3.491,3.5,3.4 ,0.382,0.137,0.165,0.225,10.95,Sim,sepal_width,iris
setosa,24,3.483,3.45,3.4 ,0.376,0.132,0.159,0.216,10.8,Sim,sepal_width,iris
setosa,25,3.48,3.4,3.4 ,0.369,0.126,0.152,0.206,10.59,Sim,sepal_width,iris
setosa,26,3.462,3.4,3.4 ,0.373,0.125,0.151,0.204,10.78,Sim,sepal_width,iris
setosa,27,3.459,3.4,3.4 ,0.366,0.12,0.145,0.196,10.58,Sim,sepal_width,iris
setosa,28,3.461,3.4,3.4 ,0.359,0.116,0.139,0.188,10.38,Sim,sepal_width,iris
setosa,29,3.459,3.4,3.4 ,0.353,0.112,0.134,0.181,10.21,Sim,sepal_width,iris
setosa,30,3.45,3.4,3.4 ,0.35,0.109,0.131,0.176,10.15,Sim,sepal_width,iris
setosa,31,3.439,3.4,3.4 ,0.35,0.107,0.128,0.173,10.18,Sim,sepal_width,iris
setosa,32,3.438,3.4,3.4 ,0.344,0.103,0.124,0.167,10.02,Sim,sepal_width,iris
setosa,33,3.458,3.4,3.4 ,0.358,0.106,0.127,0.171,10.35,Sim,sepal_width,iris
setosa,34,3.479,3.4,3.4 ,0.375,0.109,0.131,0.176,10.77,Sim,sepal_width,iris
setosa,35,3.469,3.4,3.4 ,0.375,0.107,0.129,0.173,10.8,Sim,sepal_width,iris
setosa,36,3.461,3.4,3.4 ,0.372,0.105,0.126,0.169,10.75,Sim,sepal_width,iris
setosa,37,3.462,3.4,3.4 ,0.367,0.102,0.122,0.164,10.6,Sim,sepal_width,iris
setosa,38,3.466,3.4,3.4 ,0.363,0.099,0.119,0.16,10.46,Sim,sepal_width,iris
setosa,39,3.454,3.4,3.4 ,0.366,0.099,0.118,0.159,10.58,Sim,sepal_width,iris
setosa,40,3.453,3.4,3.4 ,0.361,0.096,0.115,0.155,10.45,Sim,sepal_width,iris
setosa,41,3.454,3.4,3.4 ,0.356,0.094,0.113,0.151,10.32,Sim,sepal_width,iris
setosa,42,3.426,3.4,3.4 ,0.395,0.102,0.123,0.164,11.51,Sim,sepal_width,iris
setosa,43,3.421,3.4,3.4 ,0.391,0.1,0.12,0.161,11.44,Sim,sepal_width,iris
setosa,44,3.423,3.4,3.4 ,0.387,0.098,0.118,0.157,11.3,Sim,sepal_width,iris
setosa,45,3.431,3.4,3.4 ,0.387,0.097,0.116,0.155,11.27,Sim,sepal_width,iris
setosa,46,3.422,3.4,3.4 ,0.388,0.096,0.115,0.154,11.33,Sim,sepal_width,iris
setosa,47,3.43,3.4,3.4 ,0.387,0.095,0.114,0.152,11.29,Sim,sepal_width,iris
setosa,48,3.425,3.4,3.4 ,0.385,0.093,0.112,0.149,11.23,Sim,sepal_width,iris
setosa,49,3.431,3.4,3.4 ,0.383,0.092,0.11,0.147,11.15,Sim,sepal_width,iris
setosa,50,3.428,3.4,3.4 ,0.379,0.09,0.108,0.144,11.06,Sim,sepal_width,iris
setosa,1,1.4,1.4,1.4,-,-,-,-,-,-,petal_length,iris
setosa,2,1.4,1.4,1.4 ,0.0,0.0,0.0,0.0,0.0,-,petal_length,iris
setosa,3,1.367,1.4,1.4 ,0.058,0.097,0.143,0.331,4.22,Não,petal_length,iris
setosa,4,1.4,1.4,1.4 ,0.082,0.096,0.13,0.238,5.83,Sim,petal_length,iris
setosa,5,1.4,1.4,1.4 ,0.071,0.067,0.088,0.146,5.05,Sim,petal_length,iris
setosa,6,1.45,1.4,1.4 ,0.138,0.113,0.145,0.227,9.51,Sim,petal_length,iris
setosa,7,1.443,1.4,1.4 ,0.127,0.093,0.118,0.178,8.82,Sim,petal_length,iris
setosa,8,1.45,1.4,1.4 ,0.12,0.08,0.1,0.148,8.24,Sim,petal_length,iris
setosa,9,1.444,1.4,1.4 ,0.113,0.07,0.087,0.126,7.83,Não,petal_length,iris
setosa,10,1.45,1.4,1.4 ,0.108,0.063,0.077,0.111,7.45,Não,petal_length,iris
setosa,11,1.455,1.4,1.4 ,0.104,0.057,0.07,0.099,7.12,Não,petal_length,iris
setosa,12,1.467,1.45,1.4 ,0.107,0.056,0.068,0.096,7.32,Sim,petal_length,iris
setosa,13,1.462,1.4,1.4 ,0.104,0.052,0.063,0.088,7.14,Sim,petal_length,iris
setosa,14,1.436,1.4,1.4 ,0.139,0.066,0.08,0.112,9.7,Sim,petal_length,iris
setosa,15,1.42,1.4,1.4 ,0.147,0.067,0.082,0.113,10.38,Sim,petal_length,iris
setosa,16,1.425,1.4,1.4 ,0.144,0.063,0.077,0.106,10.09,Sim,petal_length,iris
setosa,17,1.418,1.4,1.4 ,0.142,0.06,0.073,0.101,10.05,Sim,petal_length,iris
setosa,18,1.417,1.4,1.4 ,0.138,0.057,0.069,0.094,9.76,Sim,petal_length,iris
setosa,19,1.432,1.4,1.4 ,0.149,0.059,0.072,0.099,10.43,Sim,petal_length,iris
setosa,20,1.435,1.4,1.4 ,0.146,0.056,0.068,0.093,10.18,Sim,petal_length,iris
setosa,21,1.448,1.4,1.4 ,0.154,0.058,0.07,0.095,10.62,Sim,petal_length,iris
setosa,22,1.45,1.45,1.4 & 1.5 ,0.15,0.055,0.067,0.091,10.37,Sim,petal_length,iris
setosa,23,1.43,1.4,1.4 & 1.5 ,0.174,0.062,0.075,0.102,12.19,Sim,petal_length,iris
setosa,24,1.442,1.45,1.4 & 1.5 ,0.179,0.063,0.076,0.103,12.43,Sim,petal_length,iris
setosa,25,1.46,1.5,1.4 & 1.5 ,0.198,0.068,0.082,0.111,13.56,Sim,petal_length,iris
setosa,26,1.465,1.5,1.4 & 1.5 ,0.196,0.066,0.079,0.107,13.36,Sim,petal_length,iris
setosa,27,1.47,1.5,1.4 & 1.5 ,0.194,0.064,0.077,0.104,13.18,Sim,petal_length,iris
setosa,28,1.471,1.5,1.5 ,0.19,0.061,0.074,0.1,12.93,Sim,petal_length,iris
setosa,29,1.469,1.5,1.4 & 1.5 ,0.187,0.059,0.071,0.096,12.75,Sim,petal_length,iris
setosa,30,1.473,1.5,1.4 & 1.5 ,0.186,0.058,0.069,0.093,12.6,Sim,petal_length,iris
setosa,31,1.477,1.5,1.4 & 1.5 ,0.184,0.056,0.067,0.091,12.45,Sim,petal_length,iris
setosa,32,1.478,1.5,1.5 ,0.181,0.054,0.065,0.088,12.24,Sim,petal_length,iris
setosa,33,1.479,1.5,1.5 ,0.178,0.053,0.063,0.085,12.04,Sim,petal_length,iris
setosa,34,1.476,1.5,1.5 ,0.176,0.051,0.061,0.082,11.91,Sim,petal_length,iris
setosa,35,1.477,1.5,1.5 ,0.173,0.05,0.06,0.08,11.74,Sim,petal_length,iris
setosa,36,1.469,1.5,1.5 ,0.177,0.05,0.06,0.08,12.04,Sim,petal_length,iris
setosa,37,1.465,1.5,1.5 ,0.177,0.049,0.059,0.079,12.06,Sim,petal_length,iris
setosa,38,1.463,1.5,1.5 ,0.175,0.048,0.057,0.077,11.94,Sim,petal_length,iris
setosa,39,1.459,1.5,1.5 ,0.174,0.047,0.056,0.076,11.95,Sim,petal_length,iris
setosa,40,1.46,1.5,1.5 ,0.172,0.046,0.055,0.074,11.79,Sim,petal_length,iris
setosa,41,1.456,1.5,1.5 ,0.172,0.045,0.054,0.073,11.8,Sim,petal_length,iris
setosa,42,1.452,1.5,1.5 ,0.171,0.045,0.053,0.071,11.8,Sim,petal_length,iris
setosa,43,1.449,1.5,1.5 ,0.171,0.044,0.053,0.07,11.8,Sim,petal_length,iris
setosa,44,1.452,1.5,1.5 ,0.17,0.043,0.052,0.069,11.74,Sim,petal_length,iris
setosa,45,1.462,1.5,1.5 ,0.181,0.045,0.054,0.073,12.4,Sim,petal_length,iris
setosa,46,1.461,1.5,1.5 ,0.179,0.044,0.053,0.071,12.29,Sim,petal_length,iris
setosa,47,1.464,1.5,1.5 ,0.179,0.044,0.052,0.07,12.21,Sim,petal_length,iris
setosa,48,1.463,1.5,1.4 & 1.5 ,0.177,0.043,0.051,0.069,12.1,Sim,petal_length,iris
setosa,49,1.463,1.5,1.5 ,0.175,0.042,0.05,0.067,11.98,Sim,petal_length,iris
setosa,50,1.462,1.5,1.4 & 1.5 ,0.174,0.041,0.049,0.066,11.88,Sim,petal_length,iris
setosa,1,0.2,0.2,0.2,-,-,-,-,-,-,petal_width,iris
setosa,2,0.2,0.2,0.2 ,0.0,0.0,0.0,0.0,0.0,-,petal_width,iris
setosa,3,0.2,0.2,0.2 ,0.0,0.0,0.0,0.0,0.0,Sim,petal_width,iris
setosa,4,0.2,0.2,0.2 ,0.0,0.0,0.0,0.0,0.0,Sim,petal_width,iris
setosa,5,0.2,0.2,0.2 ,0.0,0.0,0.0,0.0,0.0,Sim,petal_width,iris
setosa,6,0.233,0.2,0.2 ,0.082,0.067,0.086,0.134,34.99,Não,petal_width,iris
setosa,7,0.243,0.2,0.2 ,0.079,0.058,0.073,0.11,32.4,Não,petal_width,iris
setosa,8,0.238,0.2,0.2 ,0.074,0.05,0.062,0.092,31.33,Não,petal_width,iris
setosa,9,0.233,0.2,0.2 ,0.071,0.044,0.054,0.079,30.3,Não,petal_width,iris
setosa,10,0.22,0.2,0.2 ,0.079,0.046,0.056,0.081,35.86,Não,petal_width,iris
setosa,11,0.218,0.2,0.2 ,0.075,0.041,0.05,0.072,34.41,Não,petal_width,iris
setosa,12,0.217,0.2,0.2 ,0.072,0.037,0.046,0.064,33.13,Não,petal_width,iris
setosa,13,0.208,0.2,0.2 ,0.076,0.038,0.046,0.064,36.57,Não,petal_width,iris
setosa,14,0.2,0.2,0.2 ,0.078,0.037,0.045,0.063,39.22,Não,petal_width,iris
setosa,15,0.2,0.2,0.2 ,0.076,0.034,0.042,0.058,37.8,Não,petal_width,iris
setosa,16,0.213,0.2,0.2 ,0.089,0.039,0.047,0.065,41.65,Não,petal_width,iris
setosa,17,0.224,0.2,0.2 ,0.097,0.041,0.05,0.069,43.4,Não,petal_width,iris
setosa,18,0.228,0.2,0.2 ,0.096,0.039,0.048,0.065,42.07,Não,petal_width,iris
setosa,19,0.232,0.2,0.2 ,0.095,0.038,0.046,0.062,40.85,Não,petal_width,iris
setosa,20,0.235,0.2,0.2 ,0.093,0.036,0.044,0.06,39.71,Não,petal_width,iris
setosa,21,0.233,0.2,0.2 ,0.091,0.034,0.042,0.057,39.12,Não,petal_width,iris
setosa,22,0.241,0.2,0.2 ,0.096,0.035,0.043,0.058,39.81,Não,petal_width,iris
setosa,23,0.239,0.2,0.2 ,0.094,0.034,0.041,0.055,39.35,Não,petal_width,iris
setosa,24,0.25,0.2,0.2 ,0.106,0.037,0.045,0.061,42.53,Não,petal_width,iris
setosa,25,0.248,0.2,0.2 ,0.105,0.036,0.043,0.058,42.16,Não,petal_width,iris
setosa,26,0.246,0.2,0.2 ,0.103,0.034,0.042,0.056,41.8,Não,petal_width,iris
setosa,27,0.252,0.2,0.2 ,0.105,0.035,0.042,0.056,41.75,Não,petal_width,iris
setosa,28,0.25,0.2,0.2 ,0.104,0.033,0.04,0.054,41.46,Não,petal_width,iris
setosa,29,0.248,0.2,0.2 ,0.102,0.032,0.039,0.052,41.16,Não,petal_width,iris
setosa,30,0.247,0.2,0.2 ,0.101,0.031,0.038,0.051,40.87,Não,petal_width,iris
setosa,31,0.245,0.2,0.2 ,0.099,0.03,0.036,0.049,40.57,Não,petal_width,iris
setosa,32,0.25,0.2,0.2 ,0.102,0.03,0.037,0.049,40.64,Não,petal_width,iris
setosa,33,0.245,0.2,0.2 ,0.103,0.03,0.037,0.049,42.11,Não,petal_width,iris
setosa,34,0.244,0.2,0.2 ,0.102,0.03,0.036,0.048,41.81,Não,petal_width,iris
setosa,35,0.243,0.2,0.2 ,0.101,0.029,0.035,0.047,41.52,Não,petal_width,iris
setosa,36,0.242,0.2,0.2 ,0.1,0.028,0.034,0.045,41.23,Não,petal_width,iris
setosa,37,0.241,0.2,0.2 ,0.098,0.027,0.033,0.044,40.94,Não,petal_width,iris
setosa,38,0.237,0.2,0.2 ,0.1,0.027,0.033,0.044,42.13,Não,petal_width,iris
setosa,39,0.236,0.2,0.2 ,0.099,0.027,0.032,0.043,41.82,Não,petal_width,iris
setosa,40,0.235,0.2,0.2 ,0.098,0.026,0.031,0.042,41.5,Não,petal_width,iris
setosa,41,0.237,0.2,0.2 ,0.097,0.025,0.031,0.041,40.93,Não,petal_width,iris
setosa,42,0.238,0.2,0.2 ,0.096,0.025,0.03,0.04,40.38,Não,petal_width,iris
setosa,43,0.237,0.2,0.2 ,0.095,0.024,0.029,0.039,40.12,Não,petal_width,iris
setosa,44,0.245,0.2,0.2 ,0.109,0.028,0.033,0.044,44.33,Não,petal_width,iris
setosa,45,0.249,0.2,0.2 ,0.11,0.028,0.033,0.044,44.2,Não,petal_width,iris
setosa,46,0.25,0.2,0.2 ,0.109,0.027,0.032,0.043,43.61,Não,petal_width,iris
setosa,47,0.249,0.2,0.2 ,0.108,0.026,0.032,0.042,43.42,Não,petal_width,iris
setosa,48,0.248,0.2,0.2 ,0.107,0.026,0.031,0.042,43.23,Não,petal_width,iris
setosa,49,0.247,0.2,0.2 ,0.106,0.025,0.031,0.041,43.03,Não,petal_width,iris
setosa,50,0.246,0.2,0.2 ,0.105,0.025,0.03,0.04,42.84,Não,petal_width,iris
virginica,1,6.3,6.3,6.3,-,-,-,-,-,-,sepal_length,iris
virginica,2,6.05,6.05,None ,0.354,1.578,3.177,15.914,5.84,-,sepal_length,iris
virginica,3,6.4,6.3,None ,0.656,1.105,1.629,3.757,10.25,Sim,sepal_length,iris
virginica,4,6.375,6.3,6.3 ,0.538,0.633,0.856,1.57,8.44,Sim,sepal_length,iris
virginica,5,6.4,6.3,6.3 ,0.469,0.447,0.582,0.966,7.33,Sim,sepal_length,iris
virginica,6,6.6,6.4,6.3 ,0.645,0.531,0.677,1.062,9.77,Sim,sepal_length,iris
virginica,7,6.357,6.3,6.3 ,0.872,0.64,0.806,1.221,13.71,Sim,sepal_length,iris
virginica,8,6.475,6.4,6.3 ,0.873,0.585,0.73,1.08,13.48,Sim,sepal_length,iris
virginica,9,6.5,6.5,6.3 ,0.82,0.508,0.63,0.917,12.62,Sim,sepal_length,iris
virginica,10,6.57,6.6,6.3 ,0.804,0.466,0.575,0.826,12.24,Sim,sepal_length,iris
virginica,11,6.564,6.5,6.3 & 6.5 ,0.763,0.417,0.513,0.729,11.63,Sim,sepal_length,iris
virginica,12,6.55,6.5,6.3 & 6.5 ,0.729,0.378,0.463,0.654,11.13,Sim,sepal_length,iris
virginica,13,6.569,6.5,6.3 & 6.5 ,0.702,0.347,0.424,0.594,10.68,Sim,sepal_length,iris
virginica,14,6.507,6.5,6.3 & 6.5 ,0.713,0.337,0.412,0.574,10.96,Sim,sepal_length,iris
virginica,15,6.46,6.5,6.3 & 5.8 & 6.5 ,0.711,0.323,0.394,0.546,11.01,Sim,sepal_length,iris
virginica,16,6.456,6.45,6.3 & 5.8 & 6.5 & 6.4 ,0.687,0.301,0.366,0.506,10.64,Sim,sepal_length,iris
virginica,17,6.459,6.5,6.5 ,0.665,0.282,0.342,0.471,10.3,Sim,sepal_length,iris
virginica,18,6.528,6.5,6.5 ,0.709,0.291,0.352,0.484,10.86,Sim,sepal_length,iris
virginica,19,6.589,6.5,6.5 ,0.739,0.294,0.356,0.488,11.22,Sim,sepal_length,iris
virginica,20,6.56,6.5,6.5 ,0.732,0.283,0.342,0.468,11.15,Sim,sepal_length,iris
virginica,21,6.576,6.5,6.5 ,0.717,0.27,0.326,0.445,10.9,Sim,sepal_length,iris
virginica,22,6.532,6.5,6.5 ,0.73,0.268,0.324,0.441,11.17,Sim,sepal_length,iris
virginica,23,6.583,6.5,6.5 & 7.7 ,0.754,0.27,0.326,0.443,11.45,Sim,sepal_length,iris
virginica,24,6.571,6.5,6.3 & 6.5 & 7.7 ,0.739,0.259,0.312,0.424,11.25,Sim,sepal_length,iris
virginica,25,6.576,6.5,6.3 & 6.5 & 7.7 ,0.724,0.248,0.299,0.405,11.01,Sim,sepal_length,iris
virginica,26,6.6,6.5,6.3 & 6.5 & 7.7 ,0.72,0.241,0.291,0.394,10.91,Sim,sepal_length,iris
virginica,27,6.585,6.5,6.3 & 6.5 & 7.7 ,0.71,0.233,0.281,0.38,10.78,Sim,sepal_length,iris
virginica,28,6.568,6.5,6.3 & 6.5 & 7.7 ,0.703,0.226,0.273,0.368,10.7,Sim,sepal_length,iris
virginica,29,6.562,6.5,6.3 & 6.5 & 6.4 & 7.7 ,0.691,0.218,0.263,0.355,10.53,Sim,sepal_length,iris
virginica,30,6.583,6.5,6.3 & 6.5 & 7.2 & 6.4 & 7.7 ,0.689,0.214,0.257,0.347,10.46,Sim,sepal_length,iris
virginica,31,6.61,6.5,6.3 & 6.5 & 7.2 & 6.4 & 7.7 ,0.693,0.211,0.254,0.342,10.48,Sim,sepal_length,iris
virginica,32,6.65,6.5,6.3 & 6.5 & 7.2 & 6.4 & 7.7 ,0.719,0.215,0.259,0.349,10.81,Sim,sepal_length,iris
virginica,33,6.642,6.5,6.4 ,0.709,0.209,0.251,0.338,10.67,Sim,sepal_length,iris
virginica,34,6.632,6.5,6.3 & 6.4 ,0.701,0.203,0.244,0.328,10.56,Sim,sepal_length,iris
virginica,35,6.617,6.5,6.3 & 6.4 ,0.696,0.199,0.239,0.321,10.52,Sim,sepal_length,iris
virginica,36,6.647,6.5,6.3 & 6.4 & 7.7 ,0.709,0.2,0.24,0.322,10.67,Sim,sepal_length,iris
virginica,37,6.638,6.5,6.3 ,0.702,0.195,0.234,0.314,10.57,Sim,sepal_length,iris
virginica,38,6.632,6.45,6.3 & 6.4 ,0.693,0.19,0.228,0.305,10.45,Sim,sepal_length,iris
virginica,39,6.615,6.4,6.3 & 6.4 ,0.692,0.187,0.224,0.3,10.45,Sim,sepal_length,iris
virginica,40,6.622,6.45,6.3 & 6.4 ,0.684,0.182,0.219,0.293,10.33,Sim,sepal_length,iris
virginica,41,6.624,6.5,6.3 & 6.4 ,0.676,0.178,0.213,0.285,10.2,Sim,sepal_length,iris
virginica,42,6.631,6.5,6.3 & 6.4 ,0.669,0.174,0.208,0.279,10.08,Sim,sepal_length,iris
virginica,43,6.612,6.5,6.3 & 6.4 ,0.673,0.173,0.207,0.277,10.17,Sim,sepal_length,iris
virginica,44,6.616,6.5,6.3 & 6.4 ,0.665,0.169,0.202,0.27,10.06,Sim,sepal_length,iris
virginica,45,6.618,6.5,6.3 & 6.4 ,0.658,0.165,0.198,0.264,9.94,Sim,sepal_length,iris
virginica,46,6.62,6.5,6.3 & 6.7 & 6.4 ,0.651,0.161,0.193,0.258,9.83,Sim,sepal_length,iris
virginica,47,6.613,6.5,6.3 ,0.645,0.158,0.189,0.253,9.76,Sim,sepal_length,iris
virginica,48,6.61,6.5,6.3 ,0.639,0.155,0.185,0.247,9.66,Sim,sepal_length,iris
virginica,49,6.602,6.5,6.3 ,0.635,0.152,0.182,0.243,9.61,Sim,sepal_length,iris
virginica,50,6.588,6.5,6.3 ,0.636,0.151,0.181,0.241,9.65,Sim,sepal_length,iris
virginica,1,3.3,3.3,3.3,-,-,-,-,-,-,sepal_width,iris
virginica,2,3.0,3.0,None ,0.424,1.894,3.812,19.097,14.14,-,sepal_width,iris
virginica,3,3.0,3.0,None ,0.3,0.506,0.745,1.719,10.0,Sim,sepal_width,iris
virginica,4,2.975,2.95,None ,0.25,0.294,0.398,0.73,8.4,Sim,sepal_width,iris
